EmployeeID,Gender,Department,JobRole,HireDate,FTE,IsBadHire,ExitDate,EmploymentStatus,TenureYears
1001,Male,Operations,Associate,2016-12-04,1.0,No,,Active,8.1
1002,Female,HR,Engineer,2022-09-09,1.0,No,,Active,2.3
1003,Male,Finance,Manager,2021-12-21,1.0,Yes,,Active,3.0
1004,Male,HR,Analyst,2024-09-06,1.0,Yes,,Active,0.3
1005,Male,Operations,Manager,2019-09-11,0.5,No,,Active,5.3
1006,Female,Operations,Analyst,2020-05-26,1.0,No,,Active,4.6
1007,Male,Sales,Analyst,2023-04-10,1.0,No,,Active,1.7
1008,Male,Operations,Manager,2015-03-23,1.0,No,2018-01-15,Terminated,9.8
1009,Male,Sales,Associate,2016-08-26,0.75,No,2021-05-17,Terminated,8.4
1010,Female,Finance,Analyst,2020-05-24,1.0,Yes,,Active,4.6
1011,Male,HR,Manager,2019-09-07,0.5,No,,Active,5.3
1012,Male,HR,Analyst,2020-08-08,1.0,No,2024-03-09,Terminated,4.4
1013,Male,Sales,Executive,2022-09-20,1.0,No,,Active,2.3
1014,Male,HR,Associate,2017-06-21,0.75,No,,Active,7.5
1015,Female,Operations,Engineer,2015-12-31,1.0,No,2021-02-24,Terminated,9.0
1016,Male,IT,Analyst,2015-06-12,1.0,No,,Active,9.6
1017,Female,Sales,Executive,2023-07-17,1.0,No,2029-07-06,Terminated,1.5
1018,Female,HR,Engineer,2022-01-02,1.0,No,2023-04-03,Terminated,3.0
1019,Female,Sales,Engineer,2024-04-23,0.75,No,,Active,0.7
1020,Male,Sales,Analyst,2020-02-07,0.75,No,,Active,4.9
1021,Female,IT,Manager,2015-04-26,1.0,No,,Active,9.7
1022,Male,Operations,Analyst,2023-03-08,1.0,No,,Active,1.8
1023,Female,Sales,Executive,2021-07-12,0.5,No,,Active,3.5
1024,Female,HR,Engineer,2017-05-30,1.0,No,,Active,7.6
1025,Female,Finance,Analyst,2022-08-16,1.0,No,,Active,2.4
1026,Female,Sales,Manager,2017-04-19,1.0,No,,Active,7.7
1027,Female,Sales,Analyst,2021-01-03,1.0,Yes,,Active,4.0
