Year,Month,MonthName,Headcount
2023,1,January,29982
2023,2,February,28475
2023,3,March,28591
2023,4,April,28015
2023,5,May,29383
2023,6,June,28486
2023,7,July,29861
2023,8,August,28705
2023,9,September,29525
2023,10,October,29164
2023,11,November,28619
2023,12,December,29838
2024,1,January,29018
2024,2,February,28776
2024,3,March,28446
2024,4,April,28289
2024,5,May,28208
2024,6,June,29498
2024,7,July,28412
2024,8,August,28676
2024,9,September,29450
2024,10,October,29877
2024,11,November,29394
2024,12,December,29855
