RequisitionID,Department,JobRole,VacancyCreatedDate,TimeToFillDays,VacancyClosedDate,HireStatus
5001,Sales,Analyst,2023-01-18,19,2023-02-06,Filled
5002,Finance,Associate,2023-03-11,76,2023-05-26,Open
5003,Sales,Manager,2023-12-04,83,2024-02-25,Filled
5004,IT,Manager,2024-09-19,66,2024-11-24,Filled
5005,HR,Executive,2024-08-14,19,2024-09-02,Filled
5006,Finance,Engineer,2024-06-10,73,2024-08-22,Filled
5007,Sales,Associate,2024-11-18,82,2025-02-08,Filled
5008,Sales,Executive,2024-03-31,23,2024-04-23,Open
5009,Sales,Manager,2023-09-26,36,2023-11-01,Filled
5010,HR,Executive,2024-09-22,41,2024-11-02,Filled
5011,Sales,Associate,2023-07-07,24,2023-07-31,Filled
5012,Operations,Analyst,2024-07-22,75,2024-10-05,Filled
5013,Operations,Associate,2024-06-12,65,2024-08-16,Open
5014,Sales,Analyst,2024-03-09,24,2024-04-02,Filled
5015,Operations,Analyst,2023-10-15,20,2023-11-04,Filled
5016,Finance,Analyst,2024-07-20,76,2024-10-04,Filled
5017,Operations,Executive,2024-05-13,19,2024-06-01,Filled
5018,Sales,Manager,2024-03-16,84,2024-06-08,Filled
5019,IT,Executive,2023-10-30,77,2024-01-15,Filled
5020,Finance,Manager,2023-03-28,70,2023-06-06,Filled
5021,HR,Associate,2024-03-13,73,2024-05-25,Filled
5022,Sales,Engineer,2024-06-24,77,2024-09-09,Filled
5023,HR,Associate,2023-01-22,73,2023-04-05,Open
5024,IT,Executive,2024-07-13,65,2024-09-16,Filled
5025,HR,Executive,2024-05-31,64,2024-08-03,Open
5026,Sales,Manager,2024-11-05,18,2024-11-23,Open
5027,Sales,Executive,2024-05-17,62,2024-07-18,Filled
5028,IT,Analyst,2024-04-11,46,2024-05-27,Filled
5029,Sales,Executive,2023-04-11,65,2023-06-15,Filled
5030,IT,Manager,2024-08-05,66,2024-10-10,Open
5031,IT,Manager,2024-11-05,88,2025-02-01,Filled
5032,Sales,Analyst,2024-11-15,48,2025-01-02,Filled
5033,Operations,Manager,2023-05-21,50,2023-07-10,Filled
5034,IT,Engineer,2023-05-18,84,2023-08-10,Open
5035,Sales,Associate,2024-07-31,57,2024-09-26,Filled
5036,Operations,Executive,2023-08-16,30,2023-09-15,Filled
5037,IT,Engineer,2023-10-08,73,2023-12-20,Filled
5038,Operations,Executive,2024-11-14,67,2025-01-20,Filled
5039,Finance,Engineer,2024-03-06,33,2024-04-08,Filled
5040,Finance,Executive,2023-02-09,55,2023-04-05,Open
5041,Operations,Analyst,2024-06-02,61,2024-08-02,Open
5042,IT,Manager,2024-11-16,68,2025-01-23,Open
